text	label
My dad calls my friends " flor , luz " and all that shit	0
I brought the sueter my gma gave me form mexico lol heart suit	1
" Fwm : Lo mato and ill take her gf lmfao " lol too funny	2
Micaela micaela ke tu tienes alma mia lol	2
I made tostadas for me and her and she 's makin sadwiches lol	1
Me and yazmin were looking at that milby page and we told nohemi and her bitchass hide lmfao ya la cache	0
Ayyy I wanna go home -.- no to my brother 's apt ayi me dan puras wings and pizza	0
My manager is gay lol so ya somos amiguis xD	2
I want sus eyes they idk badass	2
My manager is so cool el chimuelo no el de los cute eyes si lol	2
Kuzs he 's always passin me churros and all that good shit	2
Nomas kuzs mis tattoos	1
My manager 's name is gabby and I show her my tattoo she was all like " awww I feel special u got my name tatted up " ha se emociono lol	2
Damm me duele mi cabezota	0
Nohemi was all panikiada and shit too cuzs she thought it was her sis	0
Pero chill a nigga still single I already explain to her watt I mean	1
Lmao la mom de yazmin me dijo ke me oigo bien mamona lol	1
I gotta do ensalada de pollo for my English class lol	1
My dad la puso a mi nombre since I was lil :)	2
The fact that my cuñada is the boss	1
My fam siempre me echan carriya cuzs of the tattoo its funny tho lol	2
We all here waiting pa ke juege mex :)	2
Lmao my dad told me to get " soy una estupida " tatted up on my forehead for getting my ex name tatted up smh it was funny cuz my friends here	0
Finally ya I 'm calm after everything that happened today	2
14 more mins pa ke ya me vaya alv	1
Finna eat summ hot fries w chamoy later on :)	2
At least ami no me mandaron tanto a la chingada como a nohemi lmao	0
Y aya nos casamos y te presento a mi abuela she knows how to cook so u do n't gotta worry about cooking for me lol	2
Y si no kieres te robo y te vas conmigo a mexico lol	2
Nomas te kieres creer bien important npw	1
You know I miss u so why I gotta text u I miss u if u already know tampoko te emociomes lol	1
I do n't accept both of yalls dare no no no el coco no	1
Se kemo pokito but fuck it	0
I always go to sleep w a t-shirt del same color de mis boxers that 's just me	1
Me and nohemi are waiting for everyone to go to sleep so we can male summ arroz con leche lol	1
A mi me decian quintina kuando era chikita lol	2
2Gay4You ha pos have fun its pretty te subes al horse its cute lol	2
" 2Gay4You : I have never been to kemah tbh . " Lol ta bien caro -.- se me fue todo cheke	0
Then en un game oomf me aplasto -.-	0
We got on the horse w summ teddy bears and un alien parecia ke llevavamos toda la fam lol	1
What about me and u go to kemah again y nos subimos al caballo lol	1
Itzayana is my niña travieza heart suit	2
lol nomas pokito ha	1
Bien buenota lol	2
Ah !! Y si estoy ardido	0
I 'm letting my eyebrows grow cuzs pinche vieja pendeja fucked them up	0
Summ people do n't like spm but fuck their opinion ha	0
Pero komo dicen hoes always gonna be hoes	0
Asi ke ven y dime kuanto me amas asi ke ven y dime kuanto me extrañas por tu amor yo bajaria asta so infinito .....	2
Made a mexican hamburger ( tortilla , keso , jamon , and mayonesa ) ;)	2
Eliseo calls me " primate " lol funny or " mono "	2
Idc if u do n't like tekila I do so u and ur opinion can gtfo	0
The reason why I 'm single 1- cuzs me mandaron a la chingada lol 2- cuzs I 'm trying to save money ( girls are expensive )	0
Ni me akordaba lol	1
Tomorrow i gotta work and todavia ando en el pedo lol	1
Waiting on my cuñada so she can pick me up to go to work	1
( el ruido de tus zapatos ) baby that 's still your song ;)	2
I was gonna get drunk tonight pero then me dijieron I had to work lol fml	0
Ya lo se ke aunke tu no me kieras yo siempre te rekordare mirame dime ke aunke te pida te llore de ruege y te implore no vas a volver	0
Well aver ke	1
She 's was all emocionada and shit	2
Lol ya ni yo	1
I was gonna go a vee a gerardo ortiz but mayne its to fuckin cold	0
When I wake up my hairs looks como ke lo lambio la vaca -.-	0
Se pasaron de verga con este cold rt	0
This teacher tellin us we gotta get amrry before aflojar la tortilla	1
Hopefully vaya :)	2
Toda mongola and shit	0
And when I see u siento mariposas	2
My dad got summ tamales	1
Alguien se comio mi torta Lol	1
La mom de eliseo said ke tengo la cabeza de teletuvi smh -.-	0
This girls sneak out and are like " no mames denle lmao	0
Y de pasada las eyebrows	1
Why ? Cuzs u ai n't shit ni mi dad me dice ke aser menos tu	0
lmao luego buelo bien gacho y no pulleo hoes ;)	2
I was born on beans and rice oh and sandwich y huevo ( danny ) lol	2
Ke al diablo con los gaupos lol	0
But the her mom told us to stop cuzs nos ivan a cachar lol	1
I remember when me and oomf used to get out during lunch pa komprar gorditas lol	2
I did n't went to 1 and ya se me iso tarde to go to 2 mmmm	1
I mias chavez rt	1
50$ por un VIP lap dance	1
yess es mi primer dia en la milby lol	2
El guy ke esta atras de mi ta heart broken	1
I need otros 3 months and then maybe	1
Kuzs I mean nomas tengo like 1 month single	1
I have the chance to go out w her pero I know I 'm just gonna hurt her	0
Bitch I can n't lmao me mandaromandarins bien bonito alv ha	0
In class toda sleepy	1
That 's why I 'm going w her pa ke me de una advil lol	2
1 . Ke they accept me en la milby 2.ke medieron una shot and me andaba muriendo & 3.ke me acabo de caer del techo lol	1
Ima go w gma rn a contarle el chisme	1
Pero ahh idc	1
Me pase de verga lol pero I was just trying to be funny	1
Finally se kedo viendo la novela and no anda de metiche lol	1
Cuzs se lo va a chingar lol	0
I hope itzayana nunka tenga bf	0
Pero nadie la conoce mas ke yo lol	1
Nomas la cara la tiene de niña buena lol	1
For now on u do n't count y voy aserle komo nunka te conoci	0
De tekila si pero de los otros no lol	1
Ya no kiero ke me den shots	1
Today me dieron una pinche shot y me rompieron mi corazonsito npw	0
pura yolo life lol	1
ah empezar el monday bien lol	2
Or can yall just stfu and dejar de inventar chismes ?	0
Can yall like plis help me find her cuzs ni la konosko	1
Everytime ke me awito I got a bottle of tekila me echo un tragiyo pa calmarme	1
My fam me manda alv cada rato then they wonder why I 'm like this	1
Finna take a shower and go pa ya meterme a la skool	1
Yazmin es mi consejera and she tells me wutt to reply	1
Nomas me falto comprarle unos hot chetos and juice lol	2
Jk jk yo mo miro eso	1
Y No invitan smh lol	1
Aver si cae un party tonight	1
Se cree muy sexy con su cookie monster bra lol	1
Yazmin anda de cochina kitandose el brasiel lol	0
Ima try to stay single por un year aver si puedo	1
Lol jk no te espantes	0
Well not now lol maybe en unos 5 months	1
Pero do n't worry I ai n't gonna try to get her back	1
Este guy maneja bien feo lol	0
A dar la vuelta kon los hommies	1
Well we stop to buy hot chetos con sal y limon :)	2
Ok ya :) now time to go buy summ raspas kon la noemi	2
Conke me de el money lol	1
Lol noemi me reta and yo le ago caso	1
El room huele a weed Idk why	0
Damm ya me dio calentura smh	0
Pero I 'm not gonna say shit people do n't gotta know	0
No se puede poner songs o ke	1
Like ni kien te ablando de ellas	1
Ai n't no one gonna come tellin me ke sabe ke and then unfollow me wtf	0
" Damm todos se casaron and we still single lol forever alone "	0
En la novela everyone got marry and shit	0
Cuzs le eche espuma en la boca lol	0
Pasame la botella voy a beber en nombre de ella lol	1
No skool for me ni tomorrow :)	2
A la gma se le kemaron los buñuelos lol	1
Still here en la casa chillin	1
Cuzs me dormi bien early a las 7	1
I mean ya me aburri	0
Damm first day of school and ya me corrienron de la class smh	0
Ya no me dan celos antes me enojaba bien feo lol	1
Pero le huelen las patas lol	0
My brothers and my dad said ke si me meten a la carcel me van a dejar ahi lol smh	0
Oh ya me akorde lol	1
Ya manana back to h town	1
Ya me dijo so ya idc	1
I can get out the room cuzs ay ta mi ex -.-	0
And then me dice ke me peine	1
Amm idgaf no andaba kon niuna	1
Damm I guess ya ne kacharon en la movida todas estas pinches viejas fuck it	0
Hay palabras ke no dicen nada y borracheras ke lo dicen todo lol	1
Ay Ke la boca se te aga chicharron lol	0
it was cute when I hug my brother and told him ke lo keria mucho : *	2
De lejos me extrañas de cercas me chingas lol	1
About to watch this movie ke se llama " mama " :/	0
Ayy me mando alv la girl de kemah lol	1
Ke vamos ir a ver los tigres del norte lol	1
We all hoeing around ya no se puede lol	1
" Yo se ke estoy hermosa nomas kuando me pinto " ( simpa ) lmfao	2
Lmao el jugo vida tenia cocaina lo sospecho andamos muy lokas lol	2
Ke karla pa reina gay lmfao xD	2
Ya todos se pasaron rt ya me canse de reirme lol	2
Uta ke nos van a invitar a calibre 50 npw lmao	1
Ay ke niña tan horrible se pasaron de verg * sus papas lol	0
Dime ke me kieres dime ke me adoras dime ke me piensas and ya no me akuerdo lol	2
Wtf lol ok ya ima drink summ water pa ke se me pase	1
And simpa was like " cochina "	0
I said " me kiero echar un churro de mota "	1
Lmao me pase de verga	0
Idk wtf they gave me rt ando bien happy and idk	2
Ni duchi gavana ni shanet ni el mas dulce aroma lol	1
Lmao rn we laughing todos mongolas	2
Diciendole a su amigo ke me agrege en fb chorros lol	2
Simpa se pasa de v **** I swear lmfao	0
Vayase a la chingada entonces lol	0
Aunque tenga cualidades y lo quieran en tu casa aunque tome con medida y en su house tenga terraza	1
Osea hello	1
Y no digas ke I was ke a playa and shit cuzs nada ke ver	0
Ami me vale madre ke ya no me kieras kon ke no digas chingaderas de mi I 'm good	0
Pero if she 's already taken i wish her the best	2
Cuzs damm idk me entro curiosidad	1
Fui legal ....	1
Los ke me la pelaron en el 2013 me la seguiran pelando en el 2014 lmao [ simpa ]	0
Well rn I 'm in the rr cuzs me iso mal el mole or idk	0
Watchin movies de narkos w this punks	1
Pero fuck it	0
And la food ke me asian lol	1
So I guess no vamos a ir ala virgen today	1
Con lo dificil ke es el amor .... y tu perdiendome lol ( simpa )	0
Siempre me anda jalando las greñas and pegandome	0
Now we cool but molesta mucho	0
I dont feel like going a la disko pero ya les dije ke si	1
About to eat mole for breakfast :)	2
Ultimo dia del año y me corrieron de mi kasa lol npw	0
Just woke up otra vez	1
This cruda	1
Tomorrow going a la virgen w my people	1
Y yo todavia aka w my people	1
When I 'm drunk I always say I have un nopal en la for head lol	2
Ah este cafe de olla ta bien bueno	2
But still a comer enchiladas :)	2
Nvm hoy no abren	1
So finna walk our asses a la panaderia lol	1
Pero I 'm not goung to sleep till the sun comes out	1
Everyone is singing asta yo lol	2
Do n't put tragos de amrgo licor cuzs ayi si ya valio y me acabo la bottle	1
Tonight is the night were I get fucked up do n't give a fuck bout anything and ke pase lo ke pase	0
Lol jammin toda mensa	0
Damm estos frijoles con chile were good af	2
And then regresarme aka con la banda	1
Aka con los friends dancing and shit lol	2
El billete es pa gastarlo y aprender a generarlo se ha vuelto buena tarea un saluda pa mi hermano y al moreno que lo extraño	2
This movie is badass like damm me ase llorar lol	0
Well ya me bañe so tomorrow i can go a tamasopo :)	2
Aveces namas me kiero poner tape and abrirmelos	1
Todos close and shit	0
Idk why females like my eyes parecen de pinche camaron	0
This days is when I eat the most damm pura mexican food ;)	2
lol nada ya I 'm calm	1
lmao y ay vienes tu -.-	1
This girl likes me and como ni la pelo she 's always trying to get me jealous -.-	0
yo como con frijoles salsa y huevo y las flores que te llevo las corte de mi jardin	1
Kuando me enojo se me calientan las orejas idk why	1
Tiene puro porn	1
ay te miro lol	1
nombre ya mero ptras a la skool smh	0
ahuevo dijo el perro lol	1
ya estas lol	1
prestamelo lol	1
I do n't understand my dad rt me dice ke pelie por lo ke kiero y luego me anda ayi regañando ke viejas sobran smh	0
lmao 1.25 $ o ke pedo	1
lol prestame una	1
en el metro fuck it lol	0
en el camaro lol	1
lol pos pa la otra nos vamos a un house party ya sabes	1
lol ya estas and claro	1
I do n't like when I come home and luego luego me ponen a limpiar -.-	0
Bitch lmao vete alv	0
si aka ando al 100 pura vida loka ya tu sabes lol	2
So I can buy cachetadas and all that good candy	2
But hopefully agarre mil baros al rato	1
Nvm 40 pesos but still	1
Dijo el guayabo el maldito vicio lol	1
Damm valgo ya ni kiero decir de todo el pinche dinero ke traia last night nomas me kedan 20 pesos smh	0
I hate when people talk shit cuzs I drink si supieran ke sus hijos tan igual oh piores ha	0
Finna eat el recalentado summ tamales and posole :)	2
I just woke up but santa did n't got me shit fuck that back to sleep	0
Pero shit happens	0
Estas viejas ya se kieren ir a la disko baile same shit	0
Anyways tonight I ate pososle , frijoles charros , spaghetti , pollo , tostadas , gelatina , canela and idk me mas lol	2
Y todo para ke y todo para ke si al final yo perdi	0
Ate a taco pirata but all I really want is some tacos de vallehermoso !!!	1
Aciendome pendejo atras doing the agenda at work lol	0
jajaja naaaa lol I do n't feel like it	2
siii si me creo lol	2
jajaja no you do n't cause you know nothing lol	1
lol miss you too !!! :p mmmmm jajajaja	2
heyy lol	2
OSO ar hell yea primo ya saves !!! We gone make this money just give me a few years and we 'll go big	2
i like talking on the phone for a good while better than texting for some reason jaja	2
buajajajj love you to prima :p looks like my job here is done lol	2
lol I said borrega not pelos necios xD	0
buajajaja I 'm sorry I do n't speak borrega either	0
" : Why are and against me today ? " esque no hablan con borregas lol pensive face	0
ayyy watchu know about that jajaja walking around la plaza with a bigass cup from la michoacana	2
Lol I still remember that one time aaron threw a cañon at the guy across the street and he took of running jajajsja	2
Quesadillas and the originals	1
Both of my sisters know the lyrics to 500 balazos better than me lol pinches chuntaras	1
Got my income done new time for class jaja	1
Ironing my shirt so I can go do my income , go to school and then head of to work jaja	1
This novela looks pretty good jajaja	2
El hotel miramar is going to get some serious business after this	1
Waiting for them to present El chapo and is almost time for me to go to work	0
What ?!?!?!?! That caught El chapo ??	1
God I love whiskey jajaja	2
Fuck yea done with my part jajaha	2
half way done with my parts jaja	1
Well probly only whiskey , una carne asada , la familia toda junta y puros corridos hasta el amanecer jajaja	2
Confleis con platano , narconovelas , what could be better after a long day jajaja	2
Watching a narconovela after working out haha ñordeloscielos	1
xo jajaja naa potna i got some stuff to take care of today lol	2
estop !! still cute doe :p	2
and even worse now im eating cake jajaj im such a fatass today !!	2
That was the scariest 2 hours man jajaja	1
lol andale por borracha :p jajaja	1
those are the nights i live for , good friends , a few drinks , la banda tocando and a smile on my face that just wont go away	2
damn i wish they would have let the banda play longer than just half an hour last night	0
Had a pretty good night with some pretty good friends jajaja	2
daaaam that sucks lol nimodo	0
Hoping to see her tonight just to finish of my day right jaja	2
jajaja ay precious !!!! why not ?	2
jajaja mensa keep telling yourself that :p	2
8 youre welcome liz :) and dont trip everything always works out in the end jaja	2
lol true true but it still sucks jaja	0
Hangin ' with the goodie-goodies loungin ' in paradise , Fuck that shit , I wanna tote guns and shoot dice	0
jajaja yesss !!!!!	2
hopefully i get this job and get paid good so i can take my mom and my grandma serenata on dia de las madres like my uncle used to do	2
i wish i had someone special this valentines day so i can take a mariachi to their house y darle serenata	0
Even if I have to go eat at tacos de vallehermoso by myself in doing something !!!! Jajaja	2
Me i want was coming to me ....... the world chiko and everything in it ...	1
The eyes chiko ..... they never lie	1
Holla atcha boy !!	1
janett jaja let 's hope so :D	2
Everyone 's always telling me I 'm a good person but like naw I do n't believe yall jajaja	2
OSO ar he surprised me man Ni yo Ni mi jefe lo conosiamos	1
OSO ar forreal wey i thought her was better than that ! collazo es un callejero man that fool can fight !!	1
Daaaaaaaaamn !!!!!!! Collazo es chingon !!!!	0
OSO ar let 's hope it 's a good one primo	2
jajajaj naaaa i cant estop :p	2
damn i love music man i dont know what id do without it jaja	2
Pa que te enamores inventare un millon de rimas	2
hoy vas a conquistar to lo que perdiste	1
jajajja ay precious !!!! Y luego Ni Al gym vas ya :p	2
jajaja lies you always lie !!	1
I hope it gets better by tomorrow for tios party	1
TRILL lol I could n't find parking and then it started to rain so I was like fuck it im going home jaja	0
should i go workout ?? or take the day off jajaj	1
buajajajaj !!!! awww i mssed messing with you prima :P	2
lol !!!! are you turning into a little gordo jajajaj	2
lol i hope you havent gained too much weight when i see you tomorrow cause of chipotle XD	1
fine !!!! dont get me anything then !!!! - - hater !! caca head	0
nooooo !!!!! :( okay okay i got it !! buy me one like an hour before we get there :D jajaj	1
and i speak Spanish , conquistador blood in me	1
jajaja well other than tres leches , cheese cake is the best cake there is jajaj and then its chocoflan :p	2
one day you 'll have some good tres leches or chocoflan and youre going to be all like :O this is great !!! jajajaj	2
its not smooshy its moist lol ay precious maybe you just havent had the right kind of tres leches or chocoflan	1
omg are you serious ?!?!? if theres anything i love in this world its tres leches !!!	2
:o !!!! Tampoco ?!?! Ay precious you 're missing out !!!!!	2
jajajajja ayy precious have you tried the chocolate filled gansitos ?? They 're sooooo good !!!	2
lol its the best diet every !!! :p mejor comete unos gansitos jaja	2
lol vale todos los dias !! Except holidays :p	2
jajajaj okay okay ill wait and give them to you on valentines day so it can be your cheat day :p	2
lol as a reward for working out so hard (= jaja	2
no !!!! do n't be a fatass prima xD	0
lol ill take the hookah but madrina needs to make a Tres leches cake for Saturday !!!	2
lol pos duermete jajaja :p	2
jajajjaj ay precious !!!! Levantate tremprano mujer	2
orale I think I might go like at 11 or 12 :p if you go at that time let me know	2
de nada precious( =	2
jajajja no you 're not , your just wrapped up in a fun sized packaging :p	2
jajajja I love olaf he 's so funny xD I need to watch it again when I get home :p	2
" Fuck it ill be a stripper no me awito " lol	1
lol eres chuntara prima jajaja	0
My prima es una narkia jajaja	1
fine !!! - - jajaja	2
La La Na Na Na Na Na Do n't trip asi se va	1
sisisisiisiisisiisisiisiisis lol	2
jajaja yes I know you know that I knew ;p	2
no cause then I 'll stick my figurative tongue out at you :p muajaja	2
noooo its an incredibly horrible idea lol	0
sana sana colita de rana , si no sana hoy sanara mañana (= hope you feel better soon presh	2
lol nooo !!! No sweg	2
jajajjaajajaj just a lil bit :p	2
jajaha fine !!! You 're cool - -	2
jajajja I figured :p your coolness just went down a bit	2
jajjaj yes !!! I will always do it !!! Lol mmmm :P	2
jajajjajaajja it was a joke :p	2
jajajaja nooo !!! Never !!! :p mmm	2
jaja then get off twitter !! :p	2
Lol turns out one of the girls from the planchas kiosk at the mall is related to me jajjaa es PERRETT !!!	1
TRILL ora jajajj yea man I need to see what 's up with the cuz first but I 'll let you know	1
TRILL ma nigga !! Like I said bro get a mixtape ready and I 'll see if I can make some moves potna	1
Do n't trip asi se va	1
lol okay okay never mind jajaja then I guess it 's	0
ummm ..... idk lol I guess I just never got the chance to have one jaja	2
Just kilt that machacado mom made	1
I 'm so glad we do n't get hangovers in this family though jajaja	2
jajaja you know you love me prima :p	2
it 'd be pretty crunk if my cousin 's showed up today at my tia 's house to celebrate the new year	2
Damn HEB esta hasta culo !!	0
pos igual yo !! I work on the first - -	1
Hell yea free lunch ;) I got it like that jaja taco pirata	2
need to go pick up my car from tia almas house right now since my drunk ass couldnt drive last night lol	1
Me pops and tio javier are fuck as drunk lol I mean drunk as fuck	0
Got a text that my carnalito is back home I need to go chill with him tomorrow since I got the day of from work ;) lol	2
jajajajjaj why ???	1
jajajajaja my mom says that too whenever I go out on the weekends xD I think it 's so funny	2
lol precious eres callejera :o jajaja jkjk yea me too even on my days off I sleep all late	2
Those aguas frescas doe !!!! Jajaja	2
I wish I was back in ValleHermoso right now walking around the plaza drinking a cold agua de melon de la michoacana	2
And tomorrow going to the pulga to get my remote fixed and finally buy the headlights my car needs jajaha	1
I wish I had more money . ..... better yet , ima go and get more money jajaja closing shift again tonight	1
there you go !! That 's the perfect attitude you should always have (= buenas noches precious y que tengas hermosos sueños :)	2
Un highball pa descansar despues del jale de hoy	1
but like really i just like saying nice things to girls to make them smile lol if i can make your day or night with a simple comment good	2
I need a girl I can talk with all day like I used to jajaja	1
true true , okay is a tie between 3msc , tengo ganas de ti , and amar te duele jahaja	2
" : Amar Te Duele " one of the best movies ever !!!!! red heart	2
Then DT tonight with my prima and work at 7 am tomorrow jajaja thug life !!!	2
Damn people be getting hustled on black Friday , it 's all a con yall	0
jajaja I sure it is !!!!	2
yesss come that way madrina can let you go DT jajaja	2
IM JUST SOOOO TIRED RIGHT NOW JAJAJ	1
im ambitious as fuck jajaja i want everybody who 's ever known me to say , yea i knew him when he was just some pinche wey back in the day	0
lol no mames	0
Jammin tequila sunrise before getting off the car and clocking in puts me in a bombass mood every time	2
I need a shot of tequila or a glass of scotch to keep me warm right now	1
feels good jaja	2
damn mexico playing onpoint right now	1
Today is the perfect day for a carne asada and that 's exactly what we 're doing ;)	2
" : When I think of patron I literally wanna vomit " giiiiiirl !!!! U cant hang or what ?? confounded face	0
dude yes prima !!!! Lol fuck it stay 2 weeks !!	1
lol no puedo :( I work !! Yall should come so we can take shots and smoke hookah	0
lol dile que me aga y venganse el findesemana	2
Some champurado would go off right now	1
yo my potna putting out some trill jams representing the H and the Valle	1
got a 2 liter i aint talking coca cola	1
He said i 've heard girls from there are so pretty y cada ves veo que es sierto ... gtfooo !!!	2
Some random ass guy just asked me que si soy la mentada chaparra de la gavia ... face with tears of joy face with tears of joy face with tears of joy face with tears of joy	1
Happy birthday Chicaaa que te la pases al cien !! Karlaaa	2
Pops gave me $10 for lunch today and an extra $20 pa que no le pida el weekend !! OK hand OK hand OK hand	2
lmaoo right !! Mi cunada siwmore me dice " Fabii how can you walk in these huge things " its not that damn hard lol	1
Vel pos duhhh	1
Vel you know its true mi pato !	1
21 it will be better for sure !! Nomas que ya no tome tanto pa que se acuerde at least poquito lol .. remember le pongo un tapon !	2
21 me dos !!! First year dancing all rodeo season lol !! gonna get crazy or wah ?! Lmao	2
21 no you did lol you were with my cousin pero ta traivas cerveza en la mano so i wouldnt doubt you were lost lol	1
21 pos ya vi que no lol ! And oh yeaa ese dia si me saludo !!! Muy amable el muchacho tht day	2
21 no era early you were getting tacos and i was behind you in line	1
21 no you !!! Wait i remember seeing you at estatal y me ignoro	0
21 me tooo aver si si lo veo ! Cause i dint remember seeing you all last summer !	1
21 okay zero preocupations ! Y luego que dice el Chuy ready for summer ?	2
21 ohhhh lmfaooooo i gett it . Srry como que me dio un blonde moment	1
21 Vel ummm chuy ? What does minimo actually mean lmfaooooo	1
Vel muy apenas me dejan salir con el brother !	1
21 haha eso mero . In this case you 're in the ratchet group lol	2
Vel 21 if he wants to be the girl in this situation then hes included cause hes ratchet lmaooo jk zero que ver !	1
21 lmfaooo about my tweet de mis cousins !!! Lmaoo you made me crack up	2
Vel osea im super duper esmart !!!! Que cress lol thanks babes (:	2
y siii como dijo titi pura cosa fina !!! A usted le doy un plus !!! hundred points	2
dude el se chivea when we mention your name	0
que se vaya a chihuahua al baile lol con toy la de blanco !!	1
yea and im saying he dont have bad taste nomas last sunday se le pasaron las copas yo creo	1
omggg thts sooo cute el amorsss el amorsss	2
omg y si pero tu cuenta hows it going doea he still go visit you lol ?	1
de nada . Esque se me olvido cause juan doesnt tell me abt his love life y los otros si	1
de nada gutts nomas que dale classes al otro	1
es okay lol but its true my niggah	1
Except gutty he actually goes for pretty girls . But el otro was going good untill now !	2
eso es lo que dicen ... mine was " algo chiquito " lol	1
chiquito o grande we know how to party it down !!!	2
so si te van aser ?	1
ohhh okay pues (:	2
lol okay pues !!! Me dejas saber . DUDEEEEE you guys leave in two weeks no ?	1
mmm que tia le gusta el chisme lol (: and yea but i meant after school .. you wrk today ?	2
te vienes tu cause my momma wrks !	1
yea aye mas o menos we jst got him last night so todavia no lo conosemos bien ! You need to see him before he gets big tho !	1
we got a new friend for chuchete !!!	1
lmaoo eso si ! No but hes barley two months so hes fricken crazy ! And del rancho where the weddings gonna be at	1
at the rancho or wah ?! Gotta start the year off good	2
And all because he wanted to play with Cookie . Y la guey de Cookie que ni caso le hace !	0
He woke us all up at 4:30 os que pedo ?! raised hand oncoming fist	0
yess haha pero que les vamos aser ! clapping hands clapping hands clapping hands clapping hands person tipping hand	1
Y eso que only my tia oti and them were here imagine if all my uncles were here !	1
Waking up and seeing an hacienda vieja all gone y otra more then half way gone !	1
Waiting for my momma to get home y nada :(	0
I misss mi chaparra del alma y a la cachetona de Kary even though i saw them sunday no fue nada !!!	0
I miss being able to tlk to you and trust you en todo . And now its like nothing ever happened !	0
She asked me " Mija me puedes limpiar la cocina esque no a dormido " of course ma there is no need to even ask crying face	1
I honestly miss having my momma en la casa !	0
She wakes up at 4am wrks from 5:30 - 3:30 and then at 5 se va trabajar al otro a doesnt get home till 11 !	1
I hate how since we moved both my parents left their jobs . And now my mom is the one wrking two jobs while my dads at the rancho all day !!!	0
And then grabs my phone ! Wtf ?! Quien te cres que eres ?!!! person tipping hand	0
